219.122.31.104,2018-03-03 00:00:00,17,0,6
219.78.213.218,2018-03-03 00:00:00,0,0,6
220.135.146.46,2018-03-03 00:00:00,9,0,3
220.180.66.27,2018-03-03 00:00:00,28,0,8
221.115.203.197,2018-03-03 00:00:00,6,0,0
221.166.253.28,2018-03-03 00:00:00,8,2,2
221.189.80.69,2018-03-03 00:00:00,3,0,1
222.174.177.100,2018-03-03 00:00:00,16,0,0
222.223.198.70,2018-03-03 00:00:00,22,0,0
23.229.8.174,2018-03-03 00:00:00,14,0,7
24.38.254.255,2018-03-03 00:00:00,8,0,0
24.41.201.165,2018-03-03 00:00:00,3,0,1
27.113.45.52,2018-03-03 00:00:00,14,0,2
27.15.222.5,2018-03-03 00:00:00,7,0,4
27.3.250.234,2018-03-03 00:00:00,1,0,3
27.43.109.84,2018-03-03 00:00:00,4,0,0
36.36.172.192,2018-03-03 00:00:00,12,0,0
36.83.4.244,2018-03-03 00:00:00,255,0,0
36.84.225.242,2018-03-03 00:00:00,1,0,7
38.64.204.120,2018-03-03 00:00:00,9,0,4
39.110.5.115,2018-03-03 00:00:00,61,0,12
39.162.13.135,2018-03-03 00:00:00,11,0,6
42.2.167.77,2018-03-03 00:00:00,5,0,0
42.225.149.249,2018-03-03 00:00:00,7,0,0
42.225.34.183,2018-03-03 00:00:00,0,0,2
42.226.14.171,2018-03-03 00:00:00,6,0,0
42.57.250.67,2018-03-03 00:00:00,13,0,2
46.252.41.130,2018-03-03 00:00:00,25,0,6
47.94.39.226,2018-03-03 00:00:00,32,0,0
49.143.132.201,2018-03-03 00:00:00,17,0,0
50.4.42.209,2018-03-03 00:00:00,2,0,9
50.67.56.52,2018-03-03 00:00:00,1,0,6
54.39.73.7,2018-03-03 00:00:00,0,0,7
58.18.212.139,2018-03-03 00:00:00,223,0,0
58.3.37.169,2018-03-03 00:00:00,6,0,0
58.3.63.25,2018-03-03 00:00:00,15,0,0
59.191.135.176,2018-03-03 00:00:00,12,0,0
60.170.188.36,2018-03-03 00:00:00,18,0,4
60.23.147.124,2018-03-03 00:00:00,12,0,2
61.137.228.187,2018-03-03 00:00:00,4,0,0
68.148.20.72,2018-03-03 00:00:00,15,0,0
74.208.43.84,2018-03-03 00:00:00,11,0,0
74.82.47.22,2018-03-03 00:00:00,116,0,11
77.232.161.160,2018-03-03 00:00:00,13,0,2
78.162.212.87,2018-03-03 00:00:00,6,0,0
78.187.220.21,2018-03-03 00:00:00,3,0,1
78.90.75.13,2018-03-03 00:00:00,11,0,26
79.121.16.90,2018-03-03 00:00:00,254,0,0
79.188.252.22,2018-03-03 00:00:00,7,0,0
80.11.226.242,2018-03-03 00:00:00,4,0,3
80.247.247.66,2018-03-03 00:00:00,5,0,0
80.98.12.145,2018-03-03 00:00:00,6,0,0
81.91.59.131,2018-03-03 00:00:00,5,0,0
82.26.231.147,2018-03-03 00:00:00,47,0,8
82.81.28.203,2018-03-03 00:00:00,5,0,0
84.1.34.55,2018-03-03 00:00:00,59,0,0
85.105.104.187,2018-03-03 00:00:00,4,0,0
85.108.67.120,2018-03-03 00:00:00,5,0,0
85.255.169.148,2018-03-03 00:00:00,17,0,2
87.98.244.35,2018-03-03 00:00:00,0,0,4
88.147.126.241,2018-03-03 00:00:00,9,0,0
88.171.160.112,2018-03-03 00:00:00,43,0,4
88.236.11.238,2018-03-03 00:00:00,4,0,0
88.247.71.45,2018-03-03 00:00:00,5,0,0
89.123.161.96,2018-03-03 00:00:00,8,0,2
89.141.131.233,2018-03-03 00:00:00,6,0,0
92.19.213.3,2018-03-03 00:00:00,4,0,1
92.82.236.107,2018-03-03 00:00:00,15,0,2
93.138.90.135,2018-03-03 00:00:00,5,0,0
94.205.55.136,2018-03-03 00:00:00,10,0,0
95.70.203.68,2018-03-03 00:00:00,5,0,0
96.87.237.6,2018-03-03 00:00:00,2,0,3
103.13.221.26,2018-03-03 00:00:00,266,0,0
103.31.244.3,2018-03-03 00:00:00,11,0,6
107.189.0.201,2018-03-03 00:00:00,3,0,2
110.248.9.174,2018-03-03 00:00:00,6,0,0
110.35.207.103,2018-03-03 00:00:00,5,0,2
111.8.190.246,2018-03-03 00:00:00,173,0,0
112.68.147.182,2018-03-03 00:00:00,15,0,2
112.70.75.233,2018-03-03 00:00:00,21,0,0
112.72.134.194,2018-03-03 00:00:00,17,0,0
113.176.61.23,2018-03-03 00:00:00,255,0,0
113.5.199.4,2018-03-03 00:00:00,10,0,1
115.23.129.89,2018-03-03 00:00:00,5,0,0
116.193.105.237,2018-03-03 00:00:00,23,0,8
116.199.103.211,2018-03-03 00:00:00,12,0,0
118.113.164.182,2018-03-03 00:00:00,5,0,0
118.91.34.84,2018-03-03 00:00:00,4,0,0
119.116.48.86,2018-03-03 00:00:00,5,0,2
119.17.26.208,2018-03-03 00:00:00,5,0,0
119.170.228.112,2018-03-03 00:00:00,28,0,0
121.224.59.102,2018-03-03 00:00:00,39,0,0
122.128.55.56,2018-03-03 00:00:00,7,0,0
122.160.81.28,2018-03-03 00:00:00,10,0,0
122.183.223.10,2018-03-03 00:00:00,5,0,0
122.194.126.102,2018-03-03 00:00:00,5,0,2
122.208.74.83,2018-03-03 00:00:00,15,0,4
122.47.74.64,2018-03-03 00:00:00,7,0,2
123.108.186.56,2018-03-03 00:00:00,5,0,0
123.109.239.243,2018-03-03 00:00:00,10,0,0
123.232.162.98,2018-03-03 00:00:00,4,0,0
124.146.15.54,2018-03-03 00:00:00,10,0,0
124.172.148.111,2018-03-03 00:00:00,18,0,0
136.24.172.203,2018-03-03 00:00:00,0,0,4
137.74.175.107,2018-03-03 00:00:00,55,0,0
14.163.69.124,2018-03-03 00:00:00,4,0,3
14.52.135.33,2018-03-03 00:00:00,22,0,2
